,Keyword,Title,URL
0,"sale, garage, ","Garage, Moving and Storage sale",https://losangeles.craigslist.org/lac/gms/d/los-angeles-garage-moving-and-storage/7438134850.html
1,"sale, ",Refrigerator and dryer for sale,https://losangeles.craigslist.org/sfv/gms/d/sherman-oaks-refrigerator-and-dryer-for/7440477344.html
2,"sale, ",NEW YEAR!! Yard Sale !!,https://losangeles.craigslist.org/sfv/gms/d/north-hollywood-new-year-yard-sale/7439116308.html
3,"sale, garage, ",Garage sale!,https://losangeles.craigslist.org/sgv/gms/d/alhambra-garage-sale/7434240231.html
4,"sale, ",Estate Sale by Appointment,https://losangeles.craigslist.org/sfv/gms/d/woodland-hills-estate-sale-by/7435610600.html
5,"sale, ",New Year Sale in Brentwood close to Getty Museum by Appointment,https://losangeles.craigslist.org/wst/gms/d/los-angeles-new-year-sale-in-brentwood/7440421707.html
6,"mattress, ","Moving! Samsung TV, Desk, Luxury Mattress, ect",https://losangeles.craigslist.org/wst/gms/d/venice-moving-samsung-tv-desk-luxury/7435713000.html
7,"sale, ",Moving Sale,https://losangeles.craigslist.org/sgv/gms/d/pasadena-moving-sale/7439335509.html
8,"sale, ","HUGE YARD SALE! DISNEY, STAR WARS TOYS, OLD DOLLS, TOOLS, AND MORE!!!",https://losangeles.craigslist.org/sgv/gms/d/la-puente-huge-yard-sale-disney-star/7439334544.html
9,"sale, ",Yard Sale,https://losangeles.craigslist.org/lac/gms/d/los-angeles-yard-sale/7439309758.html
10,"sale, ","Moving sale-instruments, cameras, recording equipment, plants",https://losangeles.craigslist.org/wst/gms/d/dodgertown-moving-sale-instruments/7439261646.html
11,"sale, ","HUGE YARD SALE! DISNEY, STAR WARS TOYS, OLD DOLLS, TOOLS, AND MORE!!!",https://losangeles.craigslist.org/sgv/gms/d/la-puente-huge-yard-sale-disney-star/7439259455.html
12,"sale, ",HUGE MOVING SALE,https://losangeles.craigslist.org/sfv/gms/d/valley-village-huge-moving-sale/7439215841.html
13,"sale, garage, ",Moving Sale + Cactus Sale! Garage Sale! Sun 1/30,https://losangeles.craigslist.org/wst/gms/d/hermosa-beach-moving-sale-cactus-sale/7438427161.html
14,"sale, ",Huge Glendora Multi Family Yard Sale,https://losangeles.craigslist.org/sgv/gms/d/glendora-huge-glendora-multi-family/7438411194.html
15,"sale, ",*******Moving Sale*******,https://losangeles.craigslist.org/sfv/gms/d/woodland-hills-moving-sale/7438411368.html
16,"sale, ",Huge Estate Sale,https://losangeles.craigslist.org/sfv/gms/d/agoura-hills-huge-estate-sale/7438396507.html
17,"sale, ",MOVING OUT YARD SALE,https://losangeles.craigslist.org/sfv/gms/d/glendale-moving-out-yard-sale/7438394896.html
18,"sale, ",Yard Sale  and Nursery closing- 20 years of stuff,https://losangeles.craigslist.org/ant/gms/d/palmdale-yard-sale-and-nursery-closing/7438333237.html
19,"sale, ",VALENTINES DAY POP UP GIFT SALE!!,https://losangeles.craigslist.org/sfv/gms/d/burbank-valentines-day-pop-up-gift-sale/7438313097.html
20,"sale, ",Hot Rod Classic Car Estate Sale,https://losangeles.craigslist.org/lac/gms/d/huntington-beach-hot-rod-classic-car/7438246142.html
21,"sale, garage, ",EVERYTHING MUST GO!!  yard garage moving sale!!,https://losangeles.craigslist.org/sgv/gms/d/pasadena-everything-must-go-yard-garage/7438178883.html
22,"sale, garage, ",yard garage moving sale - great prices - everything must go,https://losangeles.craigslist.org/ant/gms/d/pasadena-yard-garage-moving-sale-great/7438178635.html
